Id_Rssd,N,asOfDate
1111435,21,1999-12-31
1111435,23,2000-03-31
1111435,27,2000-06-30
1111435,27,2000-09-30
1111435,27,2000-12-31
1111435,27,2001-03-31
1111435,28,2001-06-30
1111435,31,2001-09-30
1111435,32,2001-12-31
1111435,31,2002-03-31
1111435,32,2002-06-30
1111435,35,2002-09-30
1111435,35,2002-12-31
1111435,44,2003-03-31
1111435,44,2003-06-30
1111435,43,2003-09-30
1111435,43,2003-12-31
1111435,43,2004-03-31
1111435,43,2004-06-30
1111435,43,2004-09-30
1111435,43,2004-12-31
1111435,44,2005-03-31
1111435,43,2005-06-30
1111435,44,2005-09-30
1111435,43,2005-12-31
1111435,42,2006-03-31
1111435,42,2006-06-30
1111435,42,2006-09-30
1111435,42,2006-12-31
1111435,42,2007-03-31
1111435,42,2007-06-30
1111435,47,2007-09-30
1111435,50,2007-12-31
1111435,50,2008-03-31
1111435,51,2008-06-30
1111435,55,2008-09-30
1111435,55,2008-12-31
1111435,55,2009-03-31
1111435,55,2009-06-30
1111435,55,2009-09-30
1111435,55,2009-12-31
1111435,55,2010-03-31
1111435,76,2010-06-30
1111435,77,2010-09-30
1111435,74,2010-12-31
1111435,76,2011-03-31
1111435,75,2011-06-30
1111435,76,2011-09-30
1111435,79,2011-12-31
1111435,77,2012-03-31
1111435,78,2012-06-30
1111435,74,2012-09-30
1111435,76,2012-12-31
1111435,76,2013-03-31
1111435,74,2013-06-30
1111435,73,2013-09-30
1111435,77,2013-12-31
1111435,77,2014-03-31
1111435,75,2014-06-30
1111435,75,2014-09-30
1111435,74,2014-12-31
1111435,73,2015-03-31
1111435,71,2015-06-30
1111435,70,2015-09-30
1111435,67,2015-12-31
1111435,66,2016-03-31
1111435,66,2016-06-30
1111435,64,2016-09-30
1111435,60,2016-12-31
1111435,56,2017-03-31
1111435,55,2017-06-30
1111435,55,2017-09-30
1111435,54,2017-12-31
1111435,53,2018-03-31
1111435,53,2018-06-30
1111435,53,2018-09-30
1113514,0,1998-12-31
1113514,41,1999-12-31
1113514,48,2000-03-31
1113514,60,2000-06-30
1113514,68,2000-09-30
1113514,68,2000-12-31
1113514,67,2001-03-31
1113514,67,2001-06-30
1113514,53,2001-09-30
1113514,53,2001-12-31
1113514,53,2002-03-31
1113514,53,2002-06-30
1113514,52,2002-09-30
1113514,53,2002-12-31
1113514,52,2003-03-31
1113514,51,2003-06-30
1113514,49,2003-09-30
1113514,45,2003-12-31
1113514,43,2004-03-31
1119794,1,1999-12-31
1119794,1,2000-03-31
1119794,1,2000-06-30
1119794,1,2000-09-30
1119794,1,2000-12-31
1119794,3,2001-03-31
1119794,3,2001-06-30
1119794,2,2001-09-30
1119794,2,2001-12-31
1119794,2,2002-03-31
1119794,2,2002-06-30
1119794,2,2002-09-30
1119794,2,2002-12-31
1119794,2,2003-03-31
1119794,2,2003-06-30
1119794,2,2003-09-30
1119794,2,2003-12-31
1119794,2,2004-03-31
1119794,4,2004-06-30
1119794,4,2004-09-30
1119794,4,2004-12-31
1119794,4,2005-03-31
1119794,4,2005-06-30
1119794,4,2005-09-30
1119794,4,2005-12-31
1119794,4,2006-03-31
1119794,4,2006-06-30
1119794,4,2006-09-30
1119794,5,2006-12-31
