"Type","V1","yearqtr"
"FBO as BHC",81,1997-06-30
"FHC - Foreign",2,1997-06-30
"SLHC",187,1997-09-30
"BHC",6028,1997-09-30
"FBO as BHC",83,1997-09-30
"FHC - Foreign",2,1997-09-30
"SLHC",191,1997-12-31
"BHC",6048,1997-12-31
"FBO as BHC",80,1997-12-31
"FHC - Foreign",2,1997-12-31
"SLHC",197,1998-03-31
"BHC",5991,1998-03-31
"FBO as BHC",67,1998-03-31
"FHC - Foreign",2,1998-03-31
"SLHC",212,1998-06-30
"BHC",5986,1998-06-30
"FBO as BHC",65,1998-06-30
"FHC - Foreign",2,1998-06-30
"SLHC",253,1998-09-30
"BHC",5956,1998-09-30
"FBO as BHC",64,1998-09-30
"FHC - Foreign",2,1998-09-30
"FHC - Domestic",1,1998-09-30
"SLHC",261,1998-12-31
"BHC",5915,1998-12-31
"FBO as BHC",61,1998-12-31
"FHC - Foreign",2,1998-12-31
"FHC - Domestic",1,1998-12-31
"SLHC",267,1999-03-31
"BHC",5923,1999-03-31
"FBO as BHC",60,1999-03-31
"FHC - Foreign",2,1999-03-31
"FHC - Domestic",1,1999-03-31
"SLHC",286,1999-06-30
"BHC",5935,1999-06-30
"FBO as BHC",61,1999-06-30
"FHC - Foreign",2,1999-06-30
"FHC - Domestic",1,1999-06-30
"SLHC",294,1999-09-30
"BHC",5920,1999-09-30
"FBO as BHC",61,1999-09-30
"FHC - Domestic",2,1999-09-30
"FHC - Foreign",2,1999-09-30
"SLHC",300,1999-12-31
"BHC",5912,1999-12-31
"FBO as BHC",59,1999-12-31
"FHC - Domestic",2,1999-12-31
"FHC - Foreign",2,1999-12-31
"SLHC",313,2000-03-31
"BHC",5720,2000-03-31
"FHC - Domestic",175,2000-03-31
"FBO as BHC",48,2000-03-31
"FHC - Foreign",21,2000-03-31
"SLHC",330,2000-06-30
"BHC",5505,2000-06-30
"FHC - Domestic",386,2000-06-30
"FBO as BHC",45,2000-06-30
"FHC - Foreign",24,2000-06-30
"SLHC",342,2000-09-30
"BHC",5413,2000-09-30
"FHC - Domestic",478,2000-09-30
"FBO as BHC",47,2000-09-30
"FHC - Foreign",25,2000-09-30
"SLHC",350,2000-12-31
"BHC",5352,2000-12-31
"FHC - Domestic",541,2000-12-31
"FBO as BHC",49,2000-12-31
"FHC - Foreign",25,2000-12-31
"SLHC",372,2001-03-31
"BHC",5325,2001-03-31
"FHC - Domestic",575,2001-03-31
"FBO as BHC",49,2001-03-31
"FHC - Foreign",25,2001-03-31
"SLHC",385,2001-06-30
"BHC",5287,2001-06-30
"FHC - Domestic",618,2001-06-30
"FBO as BHC",53,2001-06-30
"FHC - Foreign",26,2001-06-30
"SLHC",394,2001-09-30
"BHC",5256,2001-09-30
"FHC - Domestic",640,2001-09-30
"FBO as BHC",53,2001-09-30
"FHC - Foreign",26,2001-09-30
"SLHC",411,2001-12-31
"BHC",5247,2001-12-31
"FHC - Domestic",658,2001-12-31
"FBO as BHC",52,2001-12-31
"FHC - Foreign",26,2001-12-31
"SLHC",414,2002-03-31
"BHC",5231,2002-03-31
"FHC - Domestic",667,2002-03-31
"FBO as BHC",49,2002-03-31
"FHC - Foreign",27,2002-03-31
"SLHC",433,2002-06-30
"BHC",5229,2002-06-30
"FHC - Domestic",673,2002-06-30
"FBO as BHC",49,2002-06-30
"FHC - Foreign",27,2002-06-30
"SLHC",437,2002-09-30
"BHC",5224,2002-09-30
"FHC - Domestic",679,2002-09-30
"FBO as BHC",51,2002-09-30
"FHC - Foreign",28,2002-09-30
"SLHC",446,2002-12-31
"BHC",5203,2002-12-31
"FHC - Domestic",694,2002-12-31
"FBO as BHC",53,2002-12-31
"FHC - Foreign",30,2002-12-31
"SLHC",458,2003-03-31
"BHC",5206,2003-03-31
"FHC - Domestic",696,2003-03-31
"FBO as BHC",55,2003-03-31
"FHC - Foreign",30,2003-03-31
"SLHC",460,2003-06-30
"BHC",5201,2003-06-30
"FHC - Domestic",699,2003-06-30
"FBO as BHC",55,2003-06-30
"FHC - Foreign",30,2003-06-30
"SLHC",465,2003-09-30
"BHC",5224,2003-09-30
"FHC - Domestic",695,2003-09-30
"FBO as BHC",53,2003-09-30
"FHC - Foreign",30,2003-09-30
"SLHC",477,2003-12-31
"BHC",5219,2003-12-31
"FHC - Domestic",702,2003-12-31
"FBO as BHC",51,2003-12-31
"FHC - Foreign",29,2003-12-31
"SLHC",505,2004-03-31
"BHC",5211,2004-03-31
"FHC - Domestic",704,2004-03-31
"FBO as BHC",51,2004-03-31
"FHC - Foreign",32,2004-03-31
"SLHC",510,2004-06-30
"BHC",5198,2004-06-30
"FHC - Domestic",711,2004-06-30
"FBO as BHC",50,2004-06-30
"FHC - Foreign",34,2004-06-30
"SLHC",520,2004-09-30
"BHC",5187,2004-09-30
"FHC - Domestic",713,2004-09-30
"FBO as BHC",50,2004-09-30
"FHC - Foreign",33,2004-09-30
"SLHC",528,2004-12-31
"BHC",5170,2004-12-31
"FHC - Domestic",715,2004-12-31
"FBO as BHC",53,2004-12-31
"FHC - Foreign",33,2004-12-31
"SLHC",542,2005-03-31
"BHC",5154,2005-03-31
"FHC - Domestic",711,2005-03-31
"FBO as BHC",53,2005-03-31
"FHC - Foreign",32,2005-03-31
"SLHC",552,2005-06-30
"BHC",5172,2005-06-30
"FHC - Domestic",712,2005-06-30
"FBO as BHC",53,2005-06-30
"FHC - Foreign",32,2005-06-30
"SLHC",561,2005-09-30
"BHC",5184,2005-09-30
"FHC - Domestic",713,2005-09-30
"FBO as BHC",49,2005-09-30
"FHC - Foreign",32,2005-09-30
"SLHC",565,2005-12-31
"BHC",5185,2005-12-31
"FHC - Domestic",694,2005-12-31
"FBO as BHC",47,2005-12-31
