yearqtr,Id_Rssd,BHCK2170
1989-12-31,1073757,66494331
1990-03-31,1073757,63683396
1990-06-30,1073757,66187512
1990-09-30,1073757,69224288
1990-12-31,1073757,65284515
1991-03-31,1073757,66243183
1991-06-30,1073757,69124746
1991-09-30,1073757,70152476
1991-12-31,1073757,110567384
1992-03-31,1073757,112985242
1992-06-30,1073757,111206122
1992-09-30,1073757,118669684
1992-12-31,1073757,119805469
1993-03-31,1073757,121968400
1993-06-30,1073757,124384858
1993-09-30,1073757,141966322
1993-12-31,1073757,159740458
1994-03-31,1073757,166060795
1994-06-30,1073757,164397647
1994-09-30,1073757,170912043
1994-12-31,1073757,169603816
1995-03-31,1073757,183854356
1995-06-30,1073757,184188409
1995-09-30,1073757,182138438
1995-12-31,1073757,187297702
1996-03-31,1073757,194374577
1996-06-30,1073757,192308412
1996-09-30,1073757,187670563
1996-12-31,1073757,185794045
1997-03-31,1073757,238958119
1997-06-30,1073757,240362248
1997-09-30,1073757,242436684
1997-12-31,1073757,264562336
1998-03-31,1073757,314502729
1998-06-30,1073757,307985000
1998-09-30,1073757,594673000
1998-12-31,1073757,617679000
1999-03-31,1073757,614245000
1999-06-30,1073757,614102000
1999-09-30,1073757,620652000
1999-12-31,1073757,632574000
2000-03-31,1073757,656113000
2000-06-30,1073757,679538000
2000-09-30,1073757,671725000
2000-12-31,1073757,642191000
2001-03-31,1073757,609756000
2001-06-30,1073757,625524000
2001-09-30,1073757,640105000
2001-12-31,1073757,621722000
2002-03-31,1073757,619921000
2002-06-30,1073757,638448000
2002-09-30,1073757,660007000
2002-12-31,1073757,660499000
2003-03-31,1073757,679765000
2003-06-30,1073757,769179000
2003-09-30,1073757,736935000
2003-12-31,1073757,736382656
2004-03-31,1073757,819841647
2004-06-30,1073757,1039764440
2004-09-30,1073757,1089312372
2004-12-31,1073757,1112011068
2005-03-31,1073757,1213691098
2005-06-30,1073757,1251045863
2005-09-30,1073757,1256087092
2005-12-31,1073757,1294319671
2006-03-31,1073757,1375923314
2006-06-30,1073757,1447538298
2006-09-30,1073757,1451603528
2006-12-31,1073757,1463685485
2007-03-31,1073757,1509618809
2007-06-30,1073757,1535684280
2007-09-30,1073757,1582330249
2007-12-31,1073757,1720688423
2008-03-31,1073757,1743478291
2008-06-30,1073757,1723269816
2008-09-30,1073757,1836452425
2008-12-31,1073757,1822068028
2009-03-31,1073757,2323415454
2009-06-30,1073757,2256059674
2009-09-30,1073757,2252813550
2009-12-31,1073757,2231472659
2010-03-31,1073757,2346600744
2010-06-30,1073757,2370594235
2010-09-30,1073757,2341160426
2010-12-31,1073757,2268347377
2011-03-31,1073757,2276418250
2011-06-30,1073757,2264435837
2011-09-30,1073757,2221386576
2011-12-31,1073757,2136577907
2012-03-31,1073757,2180055682
